[INFO] 2020-12-07 19:02:36,323: ---
Name: DCGAN_CelebA
Device: cuda:0
Debug: False
---
Epochs: 100
Batch Size: 128
Num Worker: 8
---

[INFO] 2020-12-07 23:24:50,383:  > D-Loss:80.181, G-Loss:0.000
[INFO] 2020-12-07 23:28:25,833:  > D-Loss:80.142, G-Loss:0.000
[INFO] 2020-12-07 23:32:00,675:  > D-Loss:80.113, G-Loss:0.000
[INFO] 2020-12-07 23:35:35,512:  > D-Loss:80.106, G-Loss:0.000
[INFO] 2020-12-07 23:39:10,731:  > D-Loss:80.020, G-Loss:0.000
[INFO] 2020-12-07 23:42:40,795:  > D-Loss:80.057, G-Loss:0.000
[INFO] 2020-12-07 23:46:12,054:  > D-Loss:80.025, G-Loss:0.000
[INFO] 2020-12-07 23:49:42,018:  > D-Loss:80.033, G-Loss:0.000
[INFO] 2020-12-07 23:53:13,132:  > D-Loss:79.988, G-Loss:0.000
[INFO] 2020-12-07 23:56:49,035:  > D-Loss:46.121, G-Loss:0.902
[INFO] 2020-12-08 00:00:25,771:  > D-Loss:7.258, G-Loss:0.153
[INFO] 2020-12-08 00:04:02,859:  > D-Loss:7.512, G-Loss:0.094
[INFO] 2020-12-08 00:07:39,393:  > D-Loss:7.269, G-Loss:0.122
[INFO] 2020-12-08 00:11:15,859:  > D-Loss:7.254, G-Loss:0.097
[INFO] 2020-12-08 00:14:52,385:  > D-Loss:6.984, G-Loss:0.109
[INFO] 2020-12-08 00:18:29,108:  > D-Loss:6.820, G-Loss:0.125
[INFO] 2020-12-08 00:22:06,488:  > D-Loss:7.030, G-Loss:0.078
[INFO] 2020-12-08 00:25:43,017:  > D-Loss:7.192, G-Loss:0.112
[INFO] 2020-12-08 00:29:19,230:  > D-Loss:6.923, G-Loss:0.118
[INFO] 2020-12-08 00:32:53,973:  > D-Loss:6.744, G-Loss:0.106
[INFO] 2020-12-08 00:36:24,714:  > D-Loss:6.653, G-Loss:0.166
[INFO] 2020-12-08 00:39:58,076:  > D-Loss:6.644, G-Loss:0.112
[INFO] 2020-12-08 00:43:29,378:  > D-Loss:6.566, G-Loss:0.123
[INFO] 2020-12-08 00:47:06,471:  > D-Loss:6.871, G-Loss:0.118
[INFO] 2020-12-08 00:50:42,808:  > D-Loss:6.632, G-Loss:0.129
[INFO] 2020-12-08 00:54:19,627:  > D-Loss:6.406, G-Loss:0.137
[INFO] 2020-12-08 00:57:55,773:  > D-Loss:6.501, G-Loss:0.130
[INFO] 2020-12-08 01:01:32,678:  > D-Loss:6.458, G-Loss:0.141
